"code","name_en","continent"
"ARGE052","Chile","South America"
"CHIL009","Chile","South America"
"ARGE091","Chile","South America"
"CHIL015","Chile","South America"
"CHIL011","Chile","South America"
"CHIL014","Chile","South America"
"CHIL007","Chile","South America"
"CHIL018","Chile","South America"
"CHIL017","Chile","South America"
"CHIL016","Chile","South America"
"CHIL013","Chile","South America"
"CHIL001","Chile","South America"
"CHIL012","Chile","South America"
"CHIL002","Chile","South America"
"ARGE023","Chile","South America"
"CHIL010","Chile","South America"
"CHIL008","Chile","South America"
"CHIL006","Chile","South America"
"ARGE039","Chile","South America"
"ARGE092","Chile","South America"
"ARGE066","Argentina","South America"
"ARGE036","Argentina","South America"
"ARGE033","Argentina","South America"
"ARGE034","Argentina","South America"
"ARGE043","Argentina","South America"
"ARGE046","Argentina","South America"
"ARGE038","Argentina","South America"
"ARGE030","Argentina","South America"
"ARGE055","Argentina","South America"
"ARGE060","Argentina","South America"
"ARGE061","Argentina","South America"
"ARGE062","Argentina","South America"
"ARGE022","Argentina","South America"
"ARGE073","Argentina","South America"
"ARGE096","Argentina","South America"
"ARGE057","Argentina","South America"
"ARGE087","Argentina","South America"
"ARGE001","Argentina","South America"
"ARGE007","Argentina","South America"
"ARGE002","Argentina","South America"
"ARGE005","Argentina","South America"
"ARGE089","Argentina","South America"
"ARGE090","Argentina","South America"
"ARGE042","Argentina","South America"
"ARGE041","Argentina","South America"
"ARGE044","Argentina","South America"
"ARGE076","Argentina","South America"
"ARGE084","Argentina","South America"
"ARGE008","Argentina","South America"
"ARGE010","Argentina","South America"
"ARGE017","Argentina","South America"
"ARGE009","Argentina","South America"
"ARGE021","Argentina","South America"
"ARGE004","Argentina","South America"
"ARGE","Argentina","South America"
"ARGE050","Argentina","South America"
"ARGE056","Argentina","South America"
"ARGE014","Argentina","South America"
"ARGE012","Argentina","South America"
"ARGE015","Argentina","South America"
"ARGE003","Argentina","South America"
"ARGE006","Argentina","South America"
"ARGE063","Argentina","South America"
"ARGE048","Argentina","South America"
"ARGE011","Argentina","South America"
"ARGE018","Argentina","South America"
"ARGE019","Argentina","South America"
"ARGE020","Argentina","South America"
"ARGE016","Argentina","South America"
"ARGE013","Argentina","South America"
"ARGE025","Argentina","South America"
"ARGE037","Argentina","South America"
"ARGE029","Argentina","South America"
"ARGE027","Argentina","South America"
"ARGE095","Argentina","South America"
"ARGE074","Argentina","South America"
"ARGE075","Argentina","South America"
"ARGE082","Argentina","South America"
"ARGE068","Argentina","South America"
"ARGE035","Argentina","South America"
"ARGE067","Argentina","South America"
"ARGE070","Argentina","South America"
"ARGE077","Argentina","South America"
"ARGE097","Argentina","South America"
"ARGE098","Argentina","South America"
"ARGE054","Argentina","South America"
"ARGE032","Argentina","South America"
"ARGE053","Argentina","South America"
"ARGE072","Argentina","South America"
"ARGE099","Argentina","South America"
"ARGE100","Argentina","South America"
"ARGE086","Argentina","South America"
"ARGE065","Argentina","South America"
"ARGE069","Argentina","South America"
"ARGE081","Argentina","South America"
"ARGE093","Argentina","South America"
"ARGE094","Argentina","South America"
"ARGE088","Argentina","South America"
"ARGE083","Argentina","South America"
"ARGE085","Argentina","South America"
"ARGE045","Argentina","South America"
"ARGE079","Argentina","South America"
"ARGE080","Argentina","South America"
"KENY002","Kenya","Africa"
"KENY001","Kenya","Africa"
"CYPR015","Cyprus","Asia"
"CYPR014","Cyprus","Asia"
"CYPR019","Cyprus","Asia"
"CYPR018","Cyprus","Asia"
"CYPR017","Cyprus","Asia"
"CYPR016","Cyprus","Asia"
"CYPR001","Cyprus","Asia"
"INDI016","India","Asia"
"INDI011","India","Asia"
"INDI019","India","Asia"
"INDI018","India","Asia"
"INDI017","India","Asia"
"INDI020","India","Asia"
"INDI021","India","Asia"
"INDI010","India","Asia"
"INDI012","India","Asia"
"INDI013","India","Asia"
"INDI015","India","Asia"
"INDI014","India","Asia"
"INDI008","India","Asia"
"INDI009","India","Asia"
"INDI001","India","Asia"
"INDI004","India","Asia"
"CHIN026","People's Republic of China","Asia"
"CHIN028","People's Republic of China","Asia"
"CHIN021","People's Republic of China","Asia"
"CHIN029","People's Republic of China","Asia"
"CHIN032","People's Republic of China","Asia"
"CHIN007","People's Republic of China","Asia"
"CHIN011","People's Republic of China","Asia"
"CHIN034","People's Republic of China","Asia"
"CHIN031","People's Republic of China","Asia"
"CHIN015","People's Republic of China","Asia"
"CHIN010","People's Republic of China","Asia"
"CHIN035","People's Republic of China","Asia"
"CHIN018","People's Republic of China","Asia"
"CHIN012","People's Republic of China","Asia"
"CHIN022","People's Republic of China","Asia"
"CHIN020","People's Republic of China","Asia"
"CHIN009","People's Republic of China","Asia"
"CHIN024","People's Republic of China","Asia"
"CHIN023","People's Republic of China","Asia"
"CHIN030","People's Republic of China","Asia"
"CHIN008","People's Republic of China","Asia"
"CHIN019","People's Republic of China","Asia"
"CHIN036","People's Republic of China","Asia"
"CHIN033","People's Republic of China","Asia"
"CHIN014","People's Republic of China","Asia"
"CHIN017","People's Republic of China","Asia"
"CHIN013","People's Republic of China","Asia"
"CHIN006","People's Republic of China","Asia"
"CHIN005","People's Republic of China","Asia"
"CHIN004","People's Republic of China","Asia"
"CHIN003","People's Republic of China","Asia"
"PAKI015","Pakistan","Asia"
"PAKI009","Pakistan","Asia"
"PAKI014","Pakistan","Asia"
"PAKI007","Pakistan","Asia"
"PAKI005","Pakistan","Asia"
"PAKI008","Pakistan","Asia"
"PAKI010","Pakistan","Asia"
"PAKI011","Pakistan","Asia"
"PAKI006","Pakistan","Asia"
"PAKI013","Pakistan","Asia"
"PAKI016","Pakistan","Asia"
"INDI002","Pakistan","Asia"
"INDI003","Pakistan","Asia"
"INDI005","Pakistan","Asia"
"INDI007","Pakistan","Asia"
"INDI006","Pakistan","Asia"
"PAKI012","Pakistan","Asia"
"PAKI004","Pakistan","Asia"
"PAKI002","Pakistan","Asia"
"PAKI003","Pakistan","Asia"
"PAKI001","Pakistan","Asia"
"SYRI001","Syria","Asia"
"KORE001","South Korea","Asia"
"MORC011","Morocco","Africa"
"MORC013","Morocco","Africa"
"MORC012","Morocco","Africa"
"MORC014","Morocco","Africa"
"MORC001","Morocco","Africa"
"MORC004","Morocco","Africa"
"MORC017","Morocco","Africa"
"MORC010","Morocco","Africa"
"MORC002","Morocco","Africa"
"MORC007","Morocco","Africa"
"MORC008","Morocco","Africa"
"MORC009","Morocco","Africa"
"MORC005","Morocco","Africa"
"LEBA001","Lebanon","Asia"
"LEBA002","Lebanon","Asia"
"LEBA004","Lebanon","Asia"
"LEBA003","Lebanon","Asia"
"LEBA006","Lebanon","Asia"
"LEBA005","Lebanon","Asia"
"FRAN019","France","Europe"
"FRAN025","France","Europe"
"FRAN023","France","Europe"
"FRAN027","France","Europe"
"FRAN024","France","Europe"
"FRAN020","France","Europe"
"FRAN038","France","Europe"
"FRAN10","France","Europe"
"FRAN031","France","Europe"
"FRAN030","France","Europe"
"FRAN040","France","Europe"
"FRAN028","France","Europe"
"FRAN022","France","Europe"
"FRAN003","France","Europe"
"FRAN002","France","Europe"
"FRAN004","France","Europe"
"FRAN029","France","Europe"
"FRAN039","France","Europe"
"FRAN035","France","Europe"
"FRAN037","France","Europe"
"FRAN036","France","Europe"
"FRAN001","France","Europe"
"BT007","Bhutan","Asia"
"BT019","Bhutan","Asia"
"BT016","Bhutan","Asia"
"BT017","Bhutan","Asia"
"BT004","Bhutan","Asia"
"BT005","Bhutan","Asia"
"BT020","Bhutan","Asia"
"BT012","Bhutan","Asia"
"BT013","Bhutan","Asia"
"BT014","Bhutan","Asia"
"BT002","Bhutan","Asia"
"BT006","Bhutan","Asia"
"BT010","Bhutan","Asia"
"BT015","Bhutan","Asia"
"BT001","Bhutan","Asia"
"BT008","Bhutan","Asia"
"BT009","Bhutan","Asia"
"BT003","Bhutan","Asia"
"BT018","Bhutan","Asia"
"SAFR001","South Africa","Africa"
"LITH003","Lithuania","Europe"
"LITH004","Lithuania","Europe"
"LITH005","Lithuania","Europe"
"LITH006","Lithuania","Europe"
"LITH007","Lithuania","Europe"
"LITH008","Lithuania","Europe"
"LITH012","Lithuania","Europe"
"LITH009","Lithuania","Europe"
"LITH010","Lithuania","Europe"
"LITH013","Lithuania","Europe"
"LITH011","Lithuania","Europe"
"LITH002","Lithuania","Europe"
"LATV001","Lithuania","Europe"
"LITH001","Lithuania","Europe"
"MONG029","Mongolia","Asia"
"MONG020","Mongolia","Asia"
"MONG027","Mongolia","Asia"
"MONG024","Mongolia","Asia"
"MONG023","Mongolia","Asia"
"MONG017","Mongolia","Asia"
"MONG022","Mongolia","Asia"
"MONG030","Mongolia","Asia"
"MONG031","Mongolia","Asia"
"MONG021","Mongolia","Asia"
"MONG028","Mongolia","Asia"
"MONG026","Mongolia","Asia"
"MONG009","Mongolia","Asia"
"MONG015","Mongolia","Asia"
"MONG002","Mongolia","Asia"
"MONG008","Mongolia","Asia"
"MONG001","Mongolia","Asia"
"MONG005","Mongolia","Asia"
"MONG006","Mongolia","Asia"
"MONG014","Mongolia","Asia"
"MONG010","Mongolia","Asia"
"MONG013","Mongolia","Asia"
"MONG004","Mongolia","Asia"
"MONG012","Mongolia","Asia"
"MONG011","Mongolia","Asia"
"RUSS217","Russia","Europe"
"RUSS218","Russia","Europe"
"RUSS208","Russia","Europe"
"RUSS220","Russia","Europe"
"RUSS216","Russia","Europe"
"RUSS192","Russia","Europe"
"RUSS184","Russia","Europe"
"RUSS187","Russia","Europe"
"RUSS185","Russia","Europe"
"RUSS189","Russia","Europe"
"RUSS191","Russia","Europe"
"RUSS215","Russia","Europe"
"FINL002","Russia","Europe"
"RUSS019","Russia","Europe"
"RUSS016","Russia","Europe"
"RUSS188","Russia","Europe"
"RUSS190","Russia","Europe"
"RUSS186","Russia","Europe"
"RUSS1","Russia","Europe"
"RUSS014","Russia","Europe"
"RUSS004","Russia","Europe"
"RUSS015","Russia","Europe"
"RUSS205","Russia","Europe"
"RUSS196","Russia","Europe"
"RUSS013","Russia","Europe"
"RUSS201","Russia","Europe"
"RUSS204","Russia","Europe"
"RUSS200","Russia","Europe"
"RUSS010","Russia","Europe"
"RUSS193","Russia","Europe"
"RUSS011","Russia","Europe"
"RUSS194","Russia","Europe"
"RUSS207","Russia","Europe"
"RUSS198","Russia","Europe"
"RUSS206","Russia","Europe"
"RUSS197","Russia","Europe"
"RUSS219","Russia","Europe"
"RUSS012","Russia","Europe"
"RUSS203","Russia","Europe"
"RUSS195","Russia","Europe"
"CZEC","Czech Republic","Europe"
"CZEC2","Czech Republic","Europe"
"CZEC3","Czech Republic","Europe"
"CZEC1","Czech Republic","Europe"
"GERM040","Czech Republic","Europe"
"GERM141","Germany","Europe"
"GERM113","Germany","Europe"
"GERM128","Germany","Europe"
"GERM120","Germany","Europe"
"GERM139","Germany","Europe"
"GERM109","Germany","Europe"
"GERM110","Germany","Europe"
"GERM133","Germany","Europe"
"GERM117","Germany","Europe"
"GERM123","Germany","Europe"
"GERM132","Germany","Europe"
"GERM115","Germany","Europe"
"GERM118","Germany","Europe"
"GERM121","Germany","Europe"
"GERM138","Germany","Europe"
"GERM114","Germany","Europe"
"GERM107","Germany","Europe"
"GERM136","Germany","Europe"
"GERM112","Germany","Europe"
"GERM116","Germany","Europe"
"GERM137","Germany","Europe"
"GERM3","Germany","Europe"
"GERM017","Germany","Europe"
"GERM018","Germany","Europe"
"GERM15","Germany","Europe"
"GERM16","Germany","Europe"
"GERM301","Germany","Europe"
"GERM14","Germany","Europe"
"GERM4","Germany","Europe"
"GERM1","Germany","Europe"
"GERM124","Germany","Europe"
"GERM12","Germany","Europe"
"GERM11","Germany","Europe"
"GERM140","Germany","Europe"
"GERM004","Germany","Europe"
"GERM005","Germany","Europe"
"GERM006","Germany","Europe"
"GERM034","Germany","Europe"
"GERM058","Germany","Europe"
"GERM057","Germany","Europe"
"GERM012","Germany","Europe"
"GERM061","Germany","Europe"
"GERM035","Germany","Europe"
"GERM036","Germany","Europe"
"GERM015","Germany","Europe"
"GERM016","Germany","Europe"
"GERM17","Germany","Europe"
"GERM18","Germany","Europe"
"GERM033","Germany","Europe"
"GERM059","Germany","Europe"
"GERM060","Germany","Europe"
"GERM037","Germany","Europe"
"GERM039","Germany","Europe"
"GERM038","Germany","Europe"
"GERM019","Germany","Europe"
"GERM027","Germany","Europe"
"GERM068","Germany","Europe"
"GERM083","Germany","Europe"
"SWIT215","Germany","Europe"
"GERM030","Germany","Europe"
"GERM087","Germany","Europe"
"GERM086","Germany","Europe"
"GERM032","Germany","Europe"
"GERM029","Germany","Europe"
"GERM024","Germany","Europe"
"GERM023","Germany","Europe"
"GERM075","Germany","Europe"
"NETH014","Germany","Europe"
"GERM081","Germany","Europe"
"GERM026","Germany","Europe"
"NETH020","Germany","Europe"
"GERM095","Germany","Europe"
"GERM066","Germany","Europe"
"GERM084","Germany","Europe"
"GERM067","Germany","Europe"
"GERM070","Germany","Europe"
"GERM098","Germany","Europe"
"GERM080","Germany","Europe"
"GERM021","Germany","Europe"
"GERM135","Germany","Europe"
"GERM126","Germany","Europe"
"GERM028","Germany","Europe"
"GERM025","Germany","Europe"
"GERM100","Germany","Europe"
"GERM020","Germany","Europe"
"GERM009","Germany","Europe"
"GERM008","Germany","Europe"
"GERM007","Germany","Europe"
"GERM031","Germany","Europe"
"GERM065","Germany","Europe"
"GERM022","Germany","Europe"
"GERM077","Germany","Europe"
"GERM097","Germany","Europe"
"NORW013","Norway","Europe"
"NORW014","Norway","Europe"
"NORW015","Norway","Europe"
"NORW010","Norway","Europe"
"NORW008","Norway","Europe"
"NORW003","Norway","Europe"
"NORW004","Norway","Europe"
"NORW007","Norway","Europe"
"NORW012","Norway","Europe"
"NORW006","Norway","Europe"
"NORW002","Norway","Europe"
"SWED327","Norway","Europe"
"NORW001","Norway","Europe"
"SWED306","Sweden","Europe"
"SWED009","Sweden","Europe"
"SWED012","Sweden","Europe"
"SWED016","Sweden","Europe"
"SWED013","Sweden","Europe"
"SWED305","Sweden","Europe"
"SWED004","Sweden","Europe"
"SWED006","Sweden","Europe"
"SWED008","Sweden","Europe"
"SWED014","Sweden","Europe"
"SWED303","Sweden","Europe"
"SWED302","Sweden","Europe"
"SWED311","Sweden","Europe"
"SWED308","Sweden","Europe"
"SWED329","Sweden","Europe"
"SWED010","Sweden","Europe"
"SWED314","Sweden","Europe"
"SWED319","Sweden","Europe"
"SWED316","Sweden","Europe"
"SWED326","Sweden","Europe"
"SWED321","Sweden","Europe"
"SWED315","Sweden","Europe"
"SWED323","Sweden","Europe"
"SWED320","Sweden","Europe"
"SWED317","Sweden","Europe"
"SWED325","Sweden","Europe"
"SWED328","Sweden","Europe"
"SWED015","Sweden","Europe"
"SWED011","Sweden","Europe"
"SWED017","Sweden","Europe"
"FINL062","Finland","Europe"
"FINL060","Finland","Europe"
"FINL064","Finland","Europe"
"FINL065","Finland","Europe"
"FINL066","Finland","Europe"
"FINL063","Finland","Europe"
"FINL059","Finland","Europe"
"FINL058","Finland","Europe"
"FINL061","Finland","Europe"
"FINL015","Finland","Europe"
"FINL013","Finland","Europe"
"FINL022","Finland","Europe"
"FINL010","Finland","Europe"
"FINL012","Finland","Europe"
"FINL019","Finland","Europe"
"FINL011","Finland","Europe"
"FINL020","Finland","Europe"
"FINL017","Finland","Europe"
"FINL021","Finland","Europe"
"FINL004","Finland","Europe"
"FINL001","Finland","Europe"
"FINL006","Finland","Europe"
"FINL007","Finland","Europe"
"FINL009","Finland","Europe"
"FINL005","Finland","Europe"
"FINL008","Finland","Europe"
"FINL057","Finland","Europe"
"FINL054","Finland","Europe"
"FINL055","Finland","Europe"
"FINL056","Finland","Europe"
"FINL003","Finland","Europe"
"FINL018","Finland","Europe"
"FINL016","Finland","Europe"
"FINL014","Finland","Europe"
"VIET001","Vietnam","Asia"
"BELG002","Belgium","Europe"
"BELG004","Belgium","Europe"
"GEOR001","Georgia","Asia"
"YUGO006","Republic of Macedonia","Europe"
"TURK013","Turkey","Asia"
"TURK014","Turkey","Asia"
"TURK021","Turkey","Asia"
"TURK032","Turkey","Asia"
"TURK031","Turkey","Asia"
"TURK015","Turkey","Asia"
"TURK018","Turkey","Asia"
"TURK019","Turkey","Asia"
"TURK020","Turkey","Asia"
"TURK005","Turkey","Asia"
"TURK006","Turkey","Asia"
"TURK001","Turkey","Asia"
"TURK002","Turkey","Asia"
"TURK003","Turkey","Asia"
"TURK004","Turkey","Asia"
"TURK010","Turkey","Asia"
"TURK009","Turkey","Asia"
"TURK011","Turkey","Asia"
"TURK012","Turkey","Asia"
"TURK008","Turkey","Asia"
"TURK027","Turkey","Asia"
"TURK024","Turkey","Asia"
"TURK023","Turkey","Asia"
"TURK022","Turkey","Asia"
"TURK042","Turkey","Asia"
"TURK041","Turkey","Asia"
"TURK035","Turkey","Asia"
"TURK028","Turkey","Asia"
"TURK025","Turkey","Asia"
"TURK036","Turkey","Asia"
"TURK037","Turkey","Asia"
"TURK039","Turkey","Asia"
"TURK038","Turkey","Asia"
"TURK040","Turkey","Asia"
"TURK026","Turkey","Asia"
"SPAI057","Spain","Europe"
