Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
068_Q1,C,1DH_Q1,C,192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,0.0000000019,NULL
068_Q1,C,ELT_Q1,C,144,0.69443744,0.71956472,11.54086348,12.34776767,0.72027972,0.06293706,0.0000001377,NULL
068_Q1,C,ELT_Q1,M,144,0.33501477,0.72744005,4.25189904,12.63306903,0.71328671,0.03496503,0.0000003377,NULL
068_Q1,C,HOL_MBRU,H,100,0.61454194,0.68156732,7.75096718,9.22052924,0.72727273,0.04040404,0.0000061064,NULL
068_Q1,C,HOL_MRBR,H,128,0.34176759,0.59430931,4.09830675,8.29495417,0.71653543,0.06299213,0.0000010584,NULL
068_Q1,C,HOL_TRRB,H,56,0.56828345,0.72854807,5.12194277,7.81570022,0.80000000,0.03636364,0.0000085983,NULL
068_Q1,C,HORB3_Q1,M,233,0.18825694,0.58269451,2.91964817,10.89736063,0.70258621,0.03879310,0.0000000007,NULL
068_Q1,C,LANG_Q1,C,80,0.60038118,0.52136787,6.67276650,5.39601957,0.77215190,0.03797468,0.0000013123,NULL
068_Q1,C,VFH_Q2,C,233,0.70638978,0.71416617,15.20070374,15.50679297,0.75431034,0.03879310,0.0000000000,NULL
068_Q1,C,VFH_Q2,M,233,0.37708002,0.73510746,6.20128650,16.48005911,0.74568966,0.06896552,0.0000000000,NULL
068_Q1,M,068_Q2,M,215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,0.0000000001,NULL
068_Q1,M,1DH_Q1,C,192,0.24875145,0.55074369,3.54937978,9.09513671,0.71727749,0.03664921,0.0000000019,NULL
068_Q1,M,BECRAA,B,165,0.21661985,0.59097360,2.84155753,9.35308166,0.70731707,0.04878049,0.0000001097,NULL
068_Q1,M,BECRKO,B,142,0.83286202,0.65375092,17.86817318,10.22226112,0.73049645,0.04964539,0.0000000440,NULL
068_Q1,M,ELT_Q1,C,144,0.35404309,0.73202870,4.52695447,12.80414531,0.72027972,0.06993007,0.0000001377,NULL
068_Q1,M,ELT_Q1,M,144,0.80095974,0.76111487,15.99765194,13.98318096,0.74125874,0.05594406,0.0000000079,NULL
068_Q1,M,HOL_TMB12,H,79,0.60944149,0.71738444,6.78888845,9.03577727,0.73076923,0.05128205,0.0000457782,NULL
068_Q1,M,VFH_Q2,C,233,0.27029570,0.63679330,4.27619266,12.55251145,0.70689655,0.04741379,0.0000000003,NULL
068_Q1,M,VFH_Q2,M,233,0.75753800,0.67441923,17.67560181,13.88271660,0.70689655,0.06896552,0.0000000003,NULL
068_Q2,M,068_Q1,M,215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,0.0000000001,NULL
068_Q2,M,ELT_Q1,C,144,0.42096206,0.70991487,5.54965798,12.01158900,0.71328671,0.08391608,0.0000003377,NULL
068_Q3,C,VDMLR_Q2,C,89,0.63586421,0.62464008,7.72859252,7.46082659,0.75000000,0.06818182,0.0000027265,NULL
068_Q3,C,VDMLR_Q2,M,89,0.37477352,0.56184878,3.79206674,6.33501379,0.71590909,0.05681818,0.0000510399,NULL
068_Q3,M,VDMLR_Q2,C,89,0.39240210,0.62791099,4.00204706,7.52521593,0.76136364,0.04545455,0.0000009409,NULL
068_Q3,M,VDMLR_Q2,M,89,0.57016309,0.59707438,6.51052790,6.94245458,0.71590909,0.03409091,0.0000510399,NULL
195_Q1,C,HOL_TRRB,H,227,0.48816692,0.66682143,8.40877175,13.42201548,0.72123894,0.06637168,0.0000000000,NULL
195_Q1,C,VALK_Q2,C,152,0.54021587,0.58867499,7.88838372,8.91889667,0.72847682,0.04635762,0.0000000196,NULL
195_Q1,C,VALK_Q2,M,152,0.24217378,0.58238124,3.06718240,8.77419829,0.70860927,0.07284768,0.0000002946,NULL
195_Q1,M,FLEV1_Q1,C,80,0.46761493,0.56527424,4.70200326,6.05206502,0.73417722,0.03797468,0.0000314334,NULL
195_Q1,M,HOL_LKSB,H,103,0.47894704,0.61410161,5.51023767,7.81986050,0.70588235,0.04901961,0.0000320176,NULL
195_Q1,M,HOL_MRBR,H,137,0.20416377,0.67147353,2.43216760,10.52836301,0.71323529,0.06617647,0.0000006577,NULL
195_Q1,M,HOL_TRRB,H,227,-0.01039256,0.65756644,-0.15624286,13.09203822,0.76548673,0.03982301,0.0000000000,NULL
195_Q1,M,MAP_Q1,C,121,0.49693208,0.56842523,6.27297120,7.53679833,0.71666667,0.02500000,0.0000020653,NULL
195_Q1,M,MAP_Q1,M,121,0.66434758,0.62074313,9.73686333,8.63697329,0.70000000,0.06666667,0.0000117713,NULL
195_Q1,M,VALK_Q2,C,152,0.46014756,0.57984692,6.36868386,8.71661168,0.70198675,0.05960265,0.0000006902,NULL
195_Q1,M,VALK_Q2,M,152,0.15119577,0.58859849,1.87953216,8.91712306,0.70198675,0.07284768,0.0000006902,NULL
195_Q1,M,VFH_Q2,M,169,0.16942065,0.59790842,2.22815316,9.63949930,0.70238095,0.04166667,0.0000001552,NULL
1AH_Q1,C,CUY_Q1,C,83,0.57722358,0.65532797,6.40101701,7.80829422,0.71951220,0.06097561,0.0000702212,NULL
1AH_Q1,C,CUY_Q1,M,83,0.27049755,0.55832506,2.54430967,6.05688358,0.71951220,0.04878049,0.0000702212,NULL
1AH_Q1,C,GENP_Q1,C,80,0.54583729,0.61233354,5.79014069,6.84035735,0.74683544,0.03797468,0.0000114480,NULL
1DH_Q1,C,068_Q1,C,192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,0.0000000019,NULL
1DH_Q1,C,068_Q1,M,192,0.24875145,0.55074369,3.54937978,9.09513671,0.71727749,0.03664921,0.0000000019,NULL
1DH_Q1,C,HOL_PALZ,H,72,0.25305679,0.52796474,2.20403257,5.20127786,0.74647887,0.02816901,0.0000327091,NULL
1GDGem,M,VRW_Q1,C,167,0.31385879,0.54951644,4.25899604,8.44860666,0.70481928,0.04216867,0.0000001307,NULL
1TN_Q1,C,HOL_MRBR,H,138,0.28446823,0.61018063,3.47310493,8.98170668,0.71532847,0.05839416,0.0000004638,NULL
1TN_Q1,C,HOL_TMB11,H,95,0.51969141,0.57315374,5.89754929,6.74514493,0.71276596,0.03191489,0.0000369633,NULL
1TN_Q1,C,HOL_TRRB,H,111,0.49828446,0.62158785,6.02764652,8.28443674,0.73636364,0.05454545,0.0000007122,NULL
1TN_Q1,C,SILL_Q2,M,159,0.39246405,0.55734511,5.36352656,8.41102559,0.72151899,0.01265823,0.0000000256,NULL
1TN_Q1,C,VALK_Q2,C,207,0.55043574,0.61478135,9.46275217,11.16058870,0.72330097,0.05825243,0.0000000001,NULL
1TN_Q1,C,VALK_Q2,M,207,0.34013543,0.62454454,5.19139088,11.44973195,0.73300971,0.05825243,0.0000000000,NULL
1TN_Q1,C,VDM2W_Q1,C,255,0.57100345,0.57080970,11.08511283,11.05770173,0.70472441,0.06299213,0.0000000001,NULL
1TN_Q1,C,VEN_Q1,C,180,0.69472040,0.72285040,12.92226523,13.95653204,0.75418994,0.06145251,0.0000000000,NULL
1TN_Q1,C,VEN_Q1,M,180,0.43423744,0.71374562,6.44950158,13.59578245,0.75418994,0.04469274,0.0000000000,NULL
1TN_Q1,C,VNW_Q1,C,227,0.62363921,0.64119182,11.99335486,12.53338546,0.72566372,0.04867257,0.0000000000,NULL
1TN_Q1,C,VNW_Q1,M,227,0.40671989,0.63199271,6.69292454,12.23252221,0.70353982,0.05309735,0.0000000009,NULL
202_Q1,C,HOL_KORB,H,188,0.49775318,0.72328817,7.84794820,14.28482818,0.74331551,0.01604278,0.0000000000,NULL
202_Q1,C,HOL_MB253,H,150,0.39793443,0.66066125,5.29467561,10.70662131,0.75167785,0.03355705,0.0000000008,NULL
202_Q1,C,HOL_TATE,H,183,0.31465480,0.66169771,4.47207938,11.87327269,0.73626374,0.02197802,0.0000000002,NULL
202_Q1,C,HOL_TMB12,H,142,0.31242277,0.68373816,3.90530184,11.08646689,0.70921986,0.07092199,0.0000006740,NULL
202_Q1,C,HOL_TRMB32,H,133,0.42921417,0.55964550,5.45978783,7.72919916,0.73484848,0.03030303,0.0000000680,NULL
202_Q1,C,METZ_Q3,C,75,0.59959361,0.68050625,6.44491999,7.93491536,0.74324324,0.04054054,0.0000285273,NULL
202_Q1,C,METZ_Q3,M,75,0.25932079,0.61650022,2.30977633,6.68997080,0.72972973,0.04054054,0.0000773649,NULL
202_Q1,C,STF_Q1,M,93,0.15059548,0.52833275,1.46112456,5.93610276,0.71739130,0.02173913,0.0000304215,NULL
202_Q1,C,VFH_Q2,C,101,0.57800626,0.62868280,7.08312938,8.04374671,0.71000000,0.04000000,0.0000266915,NULL
202_Q1,M,HOL_KORB,H,188,0.34731964,0.73786133,5.06482621,14.90932975,0.75401070,0.02673797,0.0000000000,NULL
202_Q1,M,HOL_MB253,H,150,0.23982210,0.57744707,3.01540073,8.60448904,0.70469799,0.03355705,0.0000005813,NULL
202_Q1,M,HOL_TATE,H,183,0.25902918,0.60971415,3.61797811,10.34903313,0.70879121,0.02197802,0.0000000177,NULL
202_Q1,M,HOL_TMB12,H,142,0.39359441,0.56183837,5.08403678,8.03600489,0.70212766,0.06382979,0.0000015846,NULL
202_Q1,M,HOL_TRMB32,H,133,0.45697469,0.57705577,5.90259620,8.08701703,0.74242424,0.03030303,0.0000000254,NULL
202_Q1,M,STF_Q1,M,93,0.42561765,0.54443959,4.51140140,6.19172899,0.71739130,0.07608696,0.0000304215,NULL
388_Q1,M,600_Q1,C,66,0.32084707,0.63896528,2.73114463,6.64519730,0.76923077,0.01538462,0.0000141697,NULL
388_Q1,M,600_Q1,M,66,0.72682281,0.62655762,8.53176967,6.43138446,0.75384615,0.00000000,0.0000425559,NULL
388_Q1,M,MEK_Q1,C,99,0.24807902,0.50735622,2.53510489,5.79861673,0.70408163,0.04081633,0.0000533123,NULL
563_Q1,C,587_Q1,C,309,0.69788247,0.65686668,17.10077792,15.26409969,0.73376623,0.04870130,0.0000000000,NULL
563_Q1,C,587_Q1,M,309,0.40930575,0.66487021,7.87298128,15.59586112,0.74675325,0.04545455,0.0000000000,NULL
563_Q1,C,HOL_TMB12,H,170,0.23789518,0.62543151,3.18404872,10.38925583,0.71005917,0.07692308,0.0000000472,NULL
563_Q1,C,VRIG_Q1,M,96,0.48720121,0.54738677,5.43765684,6.34154615,0.70526316,0.05263158,0.0000629913,NULL
563_Q1,M,587_Q1,C,309,0.59080406,0.62749176,12.85123379,14.12049342,0.72077922,0.04870130,0.0000000000,NULL
563_Q1,M,587_Q1,M,309,0.38702023,0.67591130,7.36621787,16.06946571,0.72402597,0.04545455,0.0000000000,NULL
563_Q1,M,HOL_TMB12,H,170,0.20856765,0.59749786,2.77234916,9.65799004,0.70414201,0.06508876,0.0000001110,NULL
563_Q1,M,HOL_WEDW,H,182,0.42794460,0.53442847,6.37018599,8.48319222,0.70718232,0.02209945,0.0000000248,NULL
563_Q1,M,VRIG_Q1,M,96,0.48617626,0.52818123,5.42267162,6.03075731,0.70526316,0.05263158,0.0000629913,NULL
585_Q2,M,600_Q1,C,67,0.35768701,0.57606512,3.11173035,5.68187410,0.74242424,0.01515152,0.0000818466,NULL
587_Q1,C,563_Q1,C,309,0.69788247,0.65686668,17.10077792,15.26409969,0.73376623,0.04870130,0.0000000000,NULL
587_Q1,C,563_Q1,M,309,0.59080406,0.62749176,12.85123379,14.12049342,0.72077922,0.04870130,0.0000000000,NULL
587_Q1,M,563_Q1,C,309,0.40930575,0.66487021,7.87298128,15.59586112,0.74675325,0.04545455,0.0000000000,NULL
587_Q1,M,563_Q1,M,309,0.38702023,0.67591130,7.36621787,16.06946571,0.72402597,0.04545455,0.0000000000,NULL
600_Q1,C,388_Q1,M,66,0.32084707,0.63896528,2.73114463,6.64519730,0.76923077,0.01538462,0.0000141697,NULL
600_Q1,C,585_Q2,M,67,0.35768701,0.57606512,3.11173035,5.68187410,0.74242424,0.01515152,0.0000818466,NULL
600_Q1,C,MEK_Q1,C,104,0.53904502,0.61928994,6.49514322,7.96589593,0.72815534,0.07766990,0.0000036382,NULL
600_Q1,C,MEK_Q1,M,104,0.30311110,0.59753599,3.22810729,7.52619217,0.71844660,0.02912621,0.0000092508,NULL
600_Q1,C,NOVY_Q2,M,85,0.38860348,0.61313291,3.86541135,7.07094904,0.72619048,0.03571429,0.0000338127,NULL
600_Q1,M,388_Q1,M,66,0.72682281,0.62655762,8.53176967,6.43138446,0.75384615,0.00000000,0.0000425559,NULL
600_Q1,M,MEK_Q1,C,104,0.38496865,0.62911109,4.23326426,8.17391577,0.72815534,0.05825243,0.0000036382,NULL
600_Q1,M,MEK_Q1,M,104,0.43630326,0.59972984,4.92108922,7.56930170,0.73786408,0.00970874,0.0000013783,NULL
600_Q1,M,NOVY_Q2,M,85,0.40661761,0.59582995,4.07915749,6.75905536,0.72619048,0.01190476,0.0000338127,NULL
ABC_Q1,C,DIF_Q1,C,333,0.59675430,0.62938870,13.55066723,14.73537730,0.72891566,0.06626506,0.0000000000,NULL
ABC_Q1,C,DIF_Q1,M,333,0.38955238,0.61631275,7.70678496,14.23848457,0.73795181,0.03614458,0.0000000000,NULL
ABC_Q1,M,DIF_Q1,C,333,0.33701049,0.61395735,6.52216410,14.15104545,0.70783133,0.07228916,0.0000000000,NULL
ABC_Q1,M,DIF_Q1,M,333,0.59655186,0.61404170,13.54352984,14.15416640,0.71686747,0.04216867,0.0000000000,NULL
ALC_Q1,C,C5A_Q1,M,265,0.36947394,0.54842160,6.46036962,10.63607112,0.72727273,0.03030303,0.0000000000,NULL
ALC_Q1,C,VDMM_Q1,C,177,0.50784928,0.57220863,7.82101554,9.23001346,0.71022727,0.03977273,0.0000000243,NULL
ALC_Q1,C,VDMM_Q1,M,177,0.41895283,0.54264079,6.12113253,8.54614661,0.72159091,0.03409091,0.0000000041,NULL
ALC_Q1,C,VEL_Q2,C,117,0.72185648,0.67032692,11.23432288,9.68708473,0.75000000,0.04310345,0.0000000724,NULL
ALC_Q1,C,VEL_Q2,M,117,0.47705418,0.63696406,5.84615249,8.86072924,0.75000000,0.04310345,0.0000000724,NULL
ALC_Q1,C,VOW_Q1,M,78,0.49580645,0.53475893,5.00980929,5.51703499,0.75324675,0.01298701,0.0000088112,NULL
ALC_Q1,M,C5A_Q1,M,265,0.46334500,0.53355452,8.49543254,10.23072988,0.73484848,0.03409091,0.0000000000,NULL
ALC_Q1,M,VDMM_Q1,C,177,0.39507505,0.55373390,5.70540395,8.79700562,0.71590909,0.03409091,0.0000000101,NULL
ALC_Q1,M,VDMM_Q1,M,177,0.26185731,0.54556662,3.59952962,8.61167909,0.73295455,0.02840909,0.0000000006,NULL
ALC_Q1,M,VEL_Q2,C,117,0.48808589,0.71384824,6.02299764,10.93126482,0.78448276,0.03448276,0.0000000009,NULL
ALC_Q1,M,VEL_Q2,M,117,0.67598949,0.67011020,9.87992715,9.68139951,0.78448276,0.03448276,0.0000000009,NULL
ALC_Q3,C,RAT_Q1,C,72,0.47964833,0.57341889,4.60600479,5.85595895,0.73239437,0.05633803,0.0000898887,NULL
ATTO_Q1,C,HOL_TMB12,H,83,0.48954555,0.68553253,5.08387238,8.47450116,0.74390244,0.06097561,0.0000099959,NULL
ATTO_Q1,M,HOL_TMB12,H,83,0.69342693,0.69588628,8.71479947,8.72096243,0.76829268,0.02439024,0.0000011799,NULL
AZW_Q1,C,HRW_Q1,M,76,0.55129027,0.54555548,5.72244577,5.59979398,0.73333333,0.04000000,0.0000531213,NULL
AZW_Q1,M,HRW_Q1,M,76,0.72277943,0.58065250,9.05751063,6.13517462,0.74666667,0.01333333,0.0000193387,NULL
BAR_Q1,C,BHC_Q1,C,168,0.56592942,0.55818779,8.87062529,8.66773484,0.70658683,0.08383234,0.0000000933,NULL
BAR_Q1,C,BHC_Q1,M,168,0.44127837,0.60867586,6.35476061,9.88410914,0.70059880,0.07784431,0.0000002165,NULL
BAR_Q1,C,BJG_Q1,C,242,0.59769979,0.50015096,11.57361155,8.94787315,0.70954357,0.07883817,0.0000000001,NULL
BAR_Q1,C,BJG_Q1,M,242,0.31612008,0.50696600,5.17276699,9.11159260,0.70539419,0.05394191,0.0000000002,NULL
BAR_Q1,M,BHC_Q1,C,168,0.41842066,0.58574412,5.95339017,9.31131646,0.72455090,0.01796407,0.0000000065,NULL
BAR_Q1,M,BHC_Q1,M,168,0.13008223,0.63909261,1.69543865,10.70577727,0.70658683,0.01197605,0.0000000933,NULL
BECRAA,B,068_Q1,M,165,0.21661985,0.59097360,2.84155753,9.35308166,0.70731707,0.04878049,0.0000001097,NULL
BECRAA,B,ELT_Q1,C,105,0.32969334,0.61505480,3.56134729,7.91661154,0.71153846,0.08653846,0.0000159925,NULL
BECRKO,B,068_Q1,M,142,0.83286202,0.65375092,17.86817318,10.22226112,0.73049645,0.04964539,0.0000000440,NULL
BECRWE,B,VFH_Q1,C,170,0.34158907,0.53078439,4.72486104,8.11763540,0.72781065,0.04733728,0.0000000032,NULL
BGA_Q1,C,SWP_Q1,M,84,0.26695703,0.50131293,2.52368269,5.24645759,0.72289157,0.03614458,0.0000488049,NULL
BHC_Q1,C,BAR_Q1,C,168,0.56592942,0.55818779,8.87062529,8.66773484,0.70658683,0.08383234,0.0000000933,NULL
BHC_Q1,C,BAR_Q1,M,168,0.41842066,0.58574412,5.95339017,9.31131646,0.72455090,0.01796407,0.0000000065,NULL
BHC_Q1,C,F1B_Q1,C,115,0.55403589,0.57128685,7.10574877,7.39915805,0.71052632,0.03508772,0.0000069370,NULL
BHC_Q1,C,OSND_Q1,M,184,0.37716209,0.54795774,5.50900965,8.83717970,0.74316940,0.03278689,0.0000000000,NULL
BHC_Q1,M,BAR_Q1,C,168,0.44127837,0.60867586,6.35476061,9.88410914,0.70059880,0.07784431,0.0000002165,NULL
BHC_Q1,M,BAR_Q1,M,168,0.13008223,0.63909261,1.69543865,10.70577727,0.70658683,0.01197605,0.0000000933,NULL
BHC_Q1,M,OSND_Q1,M,184,0.42186660,0.54412144,6.29444194,8.74915721,0.72677596,0.02732240,0.0000000008,NULL
BJG_Q1,C,BAR_Q1,C,242,0.59769979,0.50015096,11.57361155,8.94787315,0.70954357,0.07883817,0.0000000001,NULL
BJG_Q1,M,BAR_Q1,C,242,0.31612008,0.50696600,5.17276699,9.11159260,0.70539419,0.05394191,0.0000000002,NULL
BOUX_Q1,C,TROY_Q1,M,193,0.43575362,0.50806032,6.70837407,8.15204712,0.72916667,0.03645833,0.0000000002,NULL
BOUX_Q1,M,TROY_Q1,M,193,0.23163127,0.50833188,3.29930614,8.15792207,0.72916667,0.03645833,0.0000000002,NULL
BSN_Q1,M,HOL_TRPB,H,68,0.58836233,0.52493266,5.95593459,5.01040275,0.74626866,0.04477612,0.0000554004,NULL
C4A_Q1,C,FLEV1_Q1,C,68,0.61543728,0.75191630,6.39134939,9.26585864,0.76119403,0.02985075,0.0000190341,NULL
C4A_Q1,C,HOL_KBMB,H,301,0.38452629,0.59985343,7.21491648,12.96376332,0.70666667,0.03000000,0.0000000000,NULL
C4A_Q1,C,HOL_MBUF,H,124,0.38071340,0.76103648,4.56618080,12.95792329,0.80487805,0.03252033,0.0000000000,NULL
C4A_Q1,C,HOL_MRBR,H,138,0.22625745,0.61619232,2.71878016,9.12393918,0.73722628,0.05109489,0.0000000280,NULL
C4A_Q1,C,HOL_TRRB,H,75,0.48553830,0.71402639,4.77772235,8.71372718,0.75675676,0.02702703,0.0000099891,NULL
C4A_Q1,C,VFH_Q2,C,302,0.58865499,0.63305889,12.63357222,14.16464292,0.73754153,0.03322259,0.0000000000,NULL
C4A_Q1,M,FLEV1_Q1,C,68,0.23800114,0.73187556,2.00575906,8.72534630,0.74626866,0.02985075,0.0000554004,NULL
C4A_Q1,M,FLEV1_Q1,M,68,0.39672213,0.70499088,3.53761137,8.07563570,0.74626866,0.02985075,0.0000554004,NULL
C4A_Q1,M,HOL_MBUF,H,124,0.57752330,0.71933335,7.84571974,11.43759356,0.80487805,0.01626016,0.0000000000,NULL
C4A_Q1,M,HOL_MRBR,H,138,0.49404599,0.58165148,6.65104918,8.33888108,0.75912409,0.04379562,0.0000000013,NULL
C4A_Q1,M,HOL_TRRB,H,75,0.20992920,0.69624263,1.84703753,8.28733009,0.77027027,0.02702703,0.0000033209,NULL
C4A_Q1,M,MMB_Q1,C,106,0.33042832,0.50795768,3.58738205,6.01379188,0.70476190,0.00952381,0.0000271227,NULL
C4A_Q1,M,MMB_Q1,M,106,0.40405032,0.53561880,4.52620239,6.46834913,0.71428571,0.00000000,0.0000112545,NULL
C4A_Q1,M,SILL_Q2,C,123,0.26738448,0.52136136,3.06495335,6.72065273,0.70491803,0.04098361,0.0000059887,NULL
C4A_Q1,M,VFH_Q2,C,302,0.34301861,0.60361474,6.33553624,13.11329095,0.73754153,0.03986711,0.0000000000,NULL
