"","node","com_name","networktype"
"1","068_Q1","CPM_K3_01",1
"2","195_Q1","CPM_K3_01",1
"3","1TN_Q1","CPM_K3_01",1
"4","C4A_Q1","CPM_K3_01",1
"5","FLEV1_Q1","CPM_K3_01",1
"6","HOL_KBMB","CPM_K3_01",1
"7","HOL_LKBB","CPM_K3_01",1
"8","HOL_LKSB","CPM_K3_01",1
"9","HOL_MBRU","CPM_K3_01",1
"10","HOL_MBUF","CPM_K3_01",1
"11","HOL_MRBR","CPM_K3_01",1
"12","HOL_PALZ","CPM_K3_01",1
"13","HOL_TRPB","CPM_K3_01",1
"14","HOL_TRRB","CPM_K3_01",1
"15","HOL_TRRS","CPM_K3_01",1
"16","HORB1_Q1","CPM_K3_01",1
"17","HORB2_Q1","CPM_K3_01",1
"18","HORB3_Q1","CPM_K3_01",1
"19","MAP_Q1","CPM_K3_01",1
"20","SARR6_Q1","CPM_K3_01",1
"21","SAUL_Q1","CPM_K3_01",1
"22","SILL_Q2","CPM_K3_01",1
"23","TROY_Q1","CPM_K3_01",1
"24","VALK_Q1","CPM_K3_01",1
"25","VALK_Q2","CPM_K3_01",1
"26","VDM2W_Q1","CPM_K3_01",1
"27","VDMLR_Q1","CPM_K3_01",1
"28","VDMLR_Q2","CPM_K3_01",1
"29","VDMWL_Q1","CPM_K3_01",1
"30","VDMWL_Q3","CPM_K3_01",1
"31","VEN_Q1","CPM_K3_01",1
"32","VFH_Q2","CPM_K3_01",1
"33","VNW_Q1","CPM_K3_01",1
"34","VRW_Q1","CPM_K3_01",1
"35","HOL_TITE","CPM_K3_02",1
"36","ILLA_Q1","CPM_K3_02",1
"37","TROY_Q1","CPM_K3_02",1
"38","NEW_Q1","CPM_K3_03",1
"39","POM4_Q1","CPM_K3_03",1
"40","SWP_Q1","CPM_K3_03",1
"41","ALC_Q1","CPM_K3_04",1
"42","C5A_Q1","CPM_K3_04",1
"43","SPR_Q1","CPM_K3_04",1
"44","VDMWL_Q2","CPM_K3_04",1
"45","VEL_Q2","CPM_K3_04",1
"46","388_Q1","CPM_K3_05",1
"47","600_Q1","CPM_K3_05",1
"48","MEK_Q1","CPM_K3_05",1
"49","NOVY_Q2","CPM_K3_05",1
"50","202_Q1","CPM_K3_06",1
"51","HOL_KORB","CPM_K3_06",1
"52","HOL_MB253","CPM_K3_06",1
"53","HOL_TRMB32","CPM_K3_06",1
"54","METZ_Q3","CPM_K3_06",1
"55","DEU_Q1","CPM_K3_07",1
"56","EMP_Q1","CPM_K3_07",1
"57","OSND_Q1","CPM_K3_07",1
"58","068_Q1","CPM_K3_08",1
"59","068_Q2","CPM_K3_08",1
"60","BECRAA","CPM_K3_08",1
"61","ELT_Q1","CPM_K3_08",1
"62","068_Q1","CPM_K4_01",1
"63","195_Q1","CPM_K4_01",1
"64","1TN_Q1","CPM_K4_01",1
"65","C4A_Q1","CPM_K4_01",1
"66","HOL_KBMB","CPM_K4_01",1
"67","HOL_MBRU","CPM_K4_01",1
"68","HOL_MBUF","CPM_K4_01",1
"69","HOL_MRBR","CPM_K4_01",1
"70","HOL_TRRB","CPM_K4_01",1
"71","HOL_TRRS","CPM_K4_01",1
"72","VALK_Q2","CPM_K4_01",1
"73","VDM2W_Q1","CPM_K4_01",1
"74","VDMLR_Q1","CPM_K4_01",1
"75","VFH_Q2","CPM_K4_01",1
"76","VNW_Q1","CPM_K4_01",1
"77","VALK_Q1","CPM_K4_02",1
"78","VDM2W_Q1","CPM_K4_02",1
"79","VDMLR_Q2","CPM_K4_02",1
"80","VDMWL_Q3","CPM_K4_02",1
"81","VNW_Q1","CPM_K4_02",1
"82","VRW_Q1","CPM_K4_02",1
"83","HOL_TRRB","CPM_K4_03",1
"84","HORB1_Q1","CPM_K4_03",1
"85","HORB2_Q1","CPM_K4_03",1
"86","HORB3_Q1","CPM_K4_03",1
"87","C4A_Q1","CPM_K4_04",1
"88","FLEV1_Q1","CPM_K4_04",1
"89","HOL_MBUF","CPM_K4_04",1
"90","SILL_Q2","CPM_K4_04",1
"91","1TN_Q1","CPM_K5_01",1
"92","HOL_MRBR","CPM_K5_01",1
"93","HOL_TRRB","CPM_K5_01",1
"94","VALK_Q2","CPM_K5_01",1
"95","VNW_Q1","CPM_K5_01",1
"96","195_Q1","CPM_K5_02",1
"97","HOL_MRBR","CPM_K5_02",1
"98","HOL_TRRB","CPM_K5_02",1
"99","VALK_Q2","CPM_K5_02",1
"100","VFH_Q2","CPM_K5_02",1
"101","068_Q1","GN_ 1",1
"102","068_Q2","GN_ 1",1
"103","1DH_Q1","GN_ 1",1
"104","BECRAA","GN_ 1",1
"105","BECRKO","GN_ 1",1
"106","ELT_Q1","GN_ 1",1
"107","LANG_Q1","GN_ 1",1
"108","068_Q3","GN_ 2",1
"109","1GDGem","GN_ 2",1
"110","HOK_Q1","GN_ 2",1
"111","POM3_Q1","GN_ 2",1
"112","VALK_Q1","GN_ 2",1
"113","VDM2W_Q1","GN_ 2",1
"114","VDMLR_Q1","GN_ 2",1
"115","VDMLR_Q2","GN_ 2",1
"116","VDMWL_Q1","GN_ 2",1
"117","VDMWL_Q3","GN_ 2",1
"118","VNW_Q1","GN_ 2",1
"119","VRW_Q1","GN_ 2",1
"120","195_Q1","GN_ 3",1
"121","1TN_Q1","GN_ 3",1
"122","C4A_Q1","GN_ 3",1
"123","DMN1_Q3","GN_ 3",1
"124","FLEV1_Q1","GN_ 3",1
"125","HOL_KBMB","GN_ 3",1
"126","HOL_LKSB","GN_ 3",1
"127","HOL_MBRU","GN_ 3",1
"128","HOL_MBUF","GN_ 3",1
"129","HOL_MRBR","GN_ 3",1
"130","HOL_PALZ","GN_ 3",1
"131","HOL_TMB11","GN_ 3",1
"132","HOL_TRRB","GN_ 3",1
"133","HOL_TRRS","GN_ 3",1
"134","MAP_Q1","GN_ 3",1
"135","MMB_Q1","GN_ 3",1
"136","OFBG_Q1","GN_ 3",1
"137","SARR2_Q2","GN_ 3",1
"138","SARR6_Q1","GN_ 3",1
"139","SILL_Q2","GN_ 3",1
"140","VALK_Q2","GN_ 3",1
"141","VEN_Q1","GN_ 3",1
"142","VFH_Q2","GN_ 3",1
"143","VIGO_Q1","GN_ 3",1
"144","1AH_Q1","GN_ 4",1
"145","CUY_Q1","GN_ 4",1
"146","GENP_Q1","GN_ 4",1
"147","STF_Q1","GN_ 4",1
"148","202_Q1","GN_ 5",1
"149","563_Q1","GN_ 5",1
"150","587_Q1","GN_ 5",1
"151","ATTO_Q1","GN_ 5",1
"152","HOL_KORB","GN_ 5",1
"153","HOL_MB253","GN_ 5",1
"154","HOL_TATE","GN_ 5",1
"155","HOL_TMB12","GN_ 5",1
"156","HOL_TRMB32","GN_ 5",1
"157","HOL_WEDW","GN_ 5",1
"158","METZ_Q3","GN_ 5",1
"159","SARR2_Q1","GN_ 5",1
"160","VRIG_Q1","GN_ 5",1
"161","388_Q1","GN_ 6",1
"162","585_Q2","GN_ 6",1
"163","600_Q1","GN_ 6",1
"164","BGA_Q1","GN_ 6",1
"165","DMN1_Q1","GN_ 6",1
"166","MEK_Q1","GN_ 6",1
"167","NEW_Q1","GN_ 6",1
"168","NOVY_Q2","GN_ 6",1
"169","POM4_Q1","GN_ 6",1
"170","SWP_Q1","GN_ 6",1
"171","ABC_Q1","GN_ 7",1
"172","DIF_Q1","GN_ 7",1
"173","VEL_Q1","GN_ 7",1
"174","ALC_Q1","GN_ 8",1
"175","ALC_Q3","GN_ 8",1
"176","C5A_Q1","GN_ 8",1
"177","IJS_Q1","GN_ 8",1
"178","IWRD_Q1","GN_ 8",1
"179","MAV_Q1","GN_ 8",1
"180","NWH_Q1","GN_ 8",1
"181","RAT_Q1","GN_ 8",1
"182","SPR_Q1","GN_ 8",1
"183","VDMM_Q1","GN_ 8",1
"184","VDMWL_Q2","GN_ 8",1
"185","VEL_Q2","GN_ 8",1
"186","VOW_Q1","GN_ 8",1
"187","VZS_Q1","GN_ 8",1
"188","AZW_Q1","GN_ 9",1
"189","HRW_Q1","GN_ 9",1
"190","BAR_Q1","GN_10",1
"191","BHC_Q1","GN_10",1
"192","BJG_Q1","GN_10",1
"193","DEU_Q1","GN_10",1
"194","EMP_Q1","GN_10",1
"195","F1B_Q1","GN_10",1
"196","OSH_Q1","GN_10",1
"197","OSND_Q1","GN_10",1
"198","BECRWE","GN_11",1
"199","VFH_Q1","GN_11",1
"200","BOUX_Q1","GN_12",1
"201","BSN_Q1","GN_12",1
"202","DAMP_Q1","GN_12",1
"203","FLEV1_Q2","GN_12",1
"204","HOL_TITE","GN_12",1
"205","HOL_TRPB","GN_12",1
"206","ILLA_Q1","GN_12",1
"207","SAUL_Q1","GN_12",1
"208","TROY_Q1","GN_12",1
"209","VEND_Q1","GN_12",1
"210","VEND_Q3","GN_12",1
"211","VIGN_Q1","GN_12",1
"212","WARC_Q1","GN_12",1
"213","C4CRH_Q1","GN_13",1
"214","LRC_Q1","GN_13",1
"215","CAO_Q1","GN_14",1
"216","ZLF_Q1","GN_14",1
"217","DAAH_Q1","GN_15",1
"218","FLOR_Q2","GN_15",1
"219","FLOR_Q1","GN_16",1
"220","IALP_Q1","GN_16",1
"221","NOVY_Q1","GN_16",1
"222","HOL_AAHO","GN_17",1
"223","HOL_KMBQ","GN_17",1
"224","HOL_GKZB","GN_18",1
"225","HOL_KORH","GN_18",1
"226","HOL_LKBB","GN_18",1
"227","HORB1_Q1","GN_19",1
"228","HORB2_Q1","GN_19",1
"229","HORB3_Q1","GN_19",1
"230","SAND_Q1","GN_19",1
