"node","com_name","networktype"
"068_Q1","CPM_K3_01",1
"195_Q1","CPM_K3_01",1
"1TN_Q1","CPM_K3_01",1
"C4A_Q1","CPM_K3_01",1
"FLEV1_Q1","CPM_K3_01",1
"HOL_KBMB","CPM_K3_01",1
"HOL_LKBB","CPM_K3_01",1
"HOL_LKSB","CPM_K3_01",1
"HOL_MBRU","CPM_K3_01",1
"HOL_MBUF","CPM_K3_01",1
"HOL_MRBR","CPM_K3_01",1
"HOL_PALZ","CPM_K3_01",1
"HOL_TRPB","CPM_K3_01",1
"HOL_TRRB","CPM_K3_01",1
"HOL_TRRS","CPM_K3_01",1
"HORB1_Q1","CPM_K3_01",1
"HORB2_Q1","CPM_K3_01",1
"HORB3_Q1","CPM_K3_01",1
"MAP_Q1","CPM_K3_01",1
"SARR6_Q1","CPM_K3_01",1
"SAUL_Q1","CPM_K3_01",1
"SILL_Q2","CPM_K3_01",1
"TROY_Q1","CPM_K3_01",1
"VALK_Q1","CPM_K3_01",1
"VALK_Q2","CPM_K3_01",1
"VDM2W_Q1","CPM_K3_01",1
"VDMLR_Q1","CPM_K3_01",1
"VDMLR_Q2","CPM_K3_01",1
"VDMWL_Q1","CPM_K3_01",1
"VDMWL_Q3","CPM_K3_01",1
"VEN_Q1","CPM_K3_01",1
"VFH_Q2","CPM_K3_01",1
"VNW_Q1","CPM_K3_01",1
"VRW_Q1","CPM_K3_01",1
"HOL_TITE","CPM_K3_02",1
"ILLA_Q1","CPM_K3_02",1
"TROY_Q1","CPM_K3_02",1
"NEW_Q1","CPM_K3_03",1
"POM4_Q1","CPM_K3_03",1
"SWP_Q1","CPM_K3_03",1
"ALC_Q1","CPM_K3_04",1
"C5A_Q1","CPM_K3_04",1
"SPR_Q1","CPM_K3_04",1
"VDMWL_Q2","CPM_K3_04",1
"VEL_Q2","CPM_K3_04",1
"388_Q1","CPM_K3_05",1
"600_Q1","CPM_K3_05",1
"MEK_Q1","CPM_K3_05",1
"NOVY_Q2","CPM_K3_05",1
"202_Q1","CPM_K3_06",1
"HOL_KORB","CPM_K3_06",1
"HOL_MB253","CPM_K3_06",1
"HOL_TRMB32","CPM_K3_06",1
"METZ_Q3","CPM_K3_06",1
"DEU_Q1","CPM_K3_07",1
"EMP_Q1","CPM_K3_07",1
"OSND_Q1","CPM_K3_07",1
"068_Q1","CPM_K3_08",1
"068_Q2","CPM_K3_08",1
"BECRAA","CPM_K3_08",1
"ELT_Q1","CPM_K3_08",1
"068_Q1","CPM_K4_01",1
"195_Q1","CPM_K4_01",1
"1TN_Q1","CPM_K4_01",1
"C4A_Q1","CPM_K4_01",1
"HOL_KBMB","CPM_K4_01",1
"HOL_MBRU","CPM_K4_01",1
"HOL_MBUF","CPM_K4_01",1
"HOL_MRBR","CPM_K4_01",1
"HOL_TRRB","CPM_K4_01",1
"HOL_TRRS","CPM_K4_01",1
"VALK_Q2","CPM_K4_01",1
"VDM2W_Q1","CPM_K4_01",1
"VDMLR_Q1","CPM_K4_01",1
"VFH_Q2","CPM_K4_01",1
"VNW_Q1","CPM_K4_01",1
"VALK_Q1","CPM_K4_02",1
"VDM2W_Q1","CPM_K4_02",1
"VDMLR_Q2","CPM_K4_02",1
"VDMWL_Q3","CPM_K4_02",1
"VNW_Q1","CPM_K4_02",1
"VRW_Q1","CPM_K4_02",1
"HOL_TRRB","CPM_K4_03",1
"HORB1_Q1","CPM_K4_03",1
"HORB2_Q1","CPM_K4_03",1
"HORB3_Q1","CPM_K4_03",1
"C4A_Q1","CPM_K4_04",1
"FLEV1_Q1","CPM_K4_04",1
"HOL_MBUF","CPM_K4_04",1
"SILL_Q2","CPM_K4_04",1
"1TN_Q1","CPM_K5_01",1
"HOL_MRBR","CPM_K5_01",1
"HOL_TRRB","CPM_K5_01",1
"VALK_Q2","CPM_K5_01",1
"VNW_Q1","CPM_K5_01",1
"195_Q1","CPM_K5_02",1
"HOL_MRBR","CPM_K5_02",1
"HOL_TRRB","CPM_K5_02",1
"VALK_Q2","CPM_K5_02",1
"VFH_Q2","CPM_K5_02",1
"068_Q1","GN_ 1",1
"068_Q2","GN_ 1",1
"1DH_Q1","GN_ 1",1
"BECRAA","GN_ 1",1
"BECRKO","GN_ 1",1
"ELT_Q1","GN_ 1",1
"LANG_Q1","GN_ 1",1
"068_Q3","GN_ 2",1
"1GDGem","GN_ 2",1
"HOK_Q1","GN_ 2",1
"POM3_Q1","GN_ 2",1
"VALK_Q1","GN_ 2",1
"VDM2W_Q1","GN_ 2",1
"VDMLR_Q1","GN_ 2",1
"VDMLR_Q2","GN_ 2",1
"VDMWL_Q1","GN_ 2",1
"VDMWL_Q3","GN_ 2",1
"VNW_Q1","GN_ 2",1
"VRW_Q1","GN_ 2",1
"195_Q1","GN_ 3",1
"1TN_Q1","GN_ 3",1
"C4A_Q1","GN_ 3",1
"DMN1_Q3","GN_ 3",1
"FLEV1_Q1","GN_ 3",1
"HOL_KBMB","GN_ 3",1
"HOL_LKSB","GN_ 3",1
"HOL_MBRU","GN_ 3",1
"HOL_MBUF","GN_ 3",1
"HOL_MRBR","GN_ 3",1
"HOL_PALZ","GN_ 3",1
"HOL_TMB11","GN_ 3",1
"HOL_TRRB","GN_ 3",1
"HOL_TRRS","GN_ 3",1
"MAP_Q1","GN_ 3",1
"MMB_Q1","GN_ 3",1
"OFBG_Q1","GN_ 3",1
"SARR2_Q2","GN_ 3",1
"SARR6_Q1","GN_ 3",1
"SILL_Q2","GN_ 3",1
"VALK_Q2","GN_ 3",1
"VEN_Q1","GN_ 3",1
"VFH_Q2","GN_ 3",1
"VIGO_Q1","GN_ 3",1
"1AH_Q1","GN_ 4",1
"CUY_Q1","GN_ 4",1
"GENP_Q1","GN_ 4",1
"STF_Q1","GN_ 4",1
"202_Q1","GN_ 5",1
"563_Q1","GN_ 5",1
"587_Q1","GN_ 5",1
"ATTO_Q1","GN_ 5",1
"HOL_KORB","GN_ 5",1
"HOL_MB253","GN_ 5",1
"HOL_TATE","GN_ 5",1
"HOL_TMB12","GN_ 5",1
"HOL_TRMB32","GN_ 5",1
"HOL_WEDW","GN_ 5",1
"METZ_Q3","GN_ 5",1
"SARR2_Q1","GN_ 5",1
"VRIG_Q1","GN_ 5",1
"388_Q1","GN_ 6",1
"585_Q2","GN_ 6",1
"600_Q1","GN_ 6",1
"BGA_Q1","GN_ 6",1
"DMN1_Q1","GN_ 6",1
"MEK_Q1","GN_ 6",1
"NEW_Q1","GN_ 6",1
"NOVY_Q2","GN_ 6",1
"POM4_Q1","GN_ 6",1
"SWP_Q1","GN_ 6",1
"ABC_Q1","GN_ 7",1
"DIF_Q1","GN_ 7",1
"VEL_Q1","GN_ 7",1
"ALC_Q1","GN_ 8",1
"ALC_Q3","GN_ 8",1
"C5A_Q1","GN_ 8",1
"IJS_Q1","GN_ 8",1
"IWRD_Q1","GN_ 8",1
"MAV_Q1","GN_ 8",1
"NWH_Q1","GN_ 8",1
"RAT_Q1","GN_ 8",1
"SPR_Q1","GN_ 8",1
"VDMM_Q1","GN_ 8",1
"VDMWL_Q2","GN_ 8",1
"VEL_Q2","GN_ 8",1
"VOW_Q1","GN_ 8",1
"VZS_Q1","GN_ 8",1
"AZW_Q1","GN_ 9",1
"HRW_Q1","GN_ 9",1
"BAR_Q1","GN_10",1
"BHC_Q1","GN_10",1
"BJG_Q1","GN_10",1
"DEU_Q1","GN_10",1
"EMP_Q1","GN_10",1
"F1B_Q1","GN_10",1
"OSH_Q1","GN_10",1
"OSND_Q1","GN_10",1
"BECRWE","GN_11",1
"VFH_Q1","GN_11",1
"BOUX_Q1","GN_12",1
"BSN_Q1","GN_12",1
"DAMP_Q1","GN_12",1
"FLEV1_Q2","GN_12",1
"HOL_TITE","GN_12",1
"HOL_TRPB","GN_12",1
"ILLA_Q1","GN_12",1
"SAUL_Q1","GN_12",1
"TROY_Q1","GN_12",1
"VEND_Q1","GN_12",1
"VEND_Q3","GN_12",1
"VIGN_Q1","GN_12",1
"WARC_Q1","GN_12",1
"C4CRH_Q1","GN_13",1
"LRC_Q1","GN_13",1
"CAO_Q1","GN_14",1
"ZLF_Q1","GN_14",1
"DAAH_Q1","GN_15",1
"FLOR_Q2","GN_15",1
"FLOR_Q1","GN_16",1
"IALP_Q1","GN_16",1
"NOVY_Q1","GN_16",1
"HOL_AAHO","GN_17",1
"HOL_KMBQ","GN_17",1
"HOL_GKZB","GN_18",1
"HOL_KORH","GN_18",1
"HOL_LKBB","GN_18",1
"HORB1_Q1","GN_19",1
"HORB2_Q1","GN_19",1
"HORB3_Q1","GN_19",1
"SAND_Q1","GN_19",1
"068_Q1","CPM_K3_01",2
"068_Q2","CPM_K3_01",2
"195_Q1","CPM_K3_01",2
"1TN_Q1","CPM_K3_01",2
"202_Q1","CPM_K3_01",2
"BECRAA","CPM_K3_01",2
"BOUX_Q1","CPM_K3_01",2
"C4A_Q1","CPM_K3_01",2
"DMN1_Q3","CPM_K3_01",2
"ELT_Q1","CPM_K3_01",2
"FLEV1_Q1","CPM_K3_01",2
"HOK_Q1","CPM_K3_01",2
"HOL_KBMB","CPM_K3_01",2
"HOL_LKBB","CPM_K3_01",2
"HOL_LKSB","CPM_K3_01",2
"HOL_MBRU","CPM_K3_01",2
"HOL_MBUF","CPM_K3_01",2
"HOL_MRBR","CPM_K3_01",2
"HOL_PALZ","CPM_K3_01",2
"HOL_TMB12","CPM_K3_01",2
"HOL_TMB21","CPM_K3_01",2
"HOL_TRPB","CPM_K3_01",2
"HOL_TRRB","CPM_K3_01",2
"HOL_TRRS","CPM_K3_01",2
"HORB1_Q1","CPM_K3_01",2
"HORB2_Q1","CPM_K3_01",2
"HORB3_Q1","CPM_K3_01",2
"IWRD_Q1","CPM_K3_01",2
"MAP_Q1","CPM_K3_01",2
"MMB_Q1","CPM_K3_01",2
"OFBG_Q1","CPM_K3_01",2
"SAND_Q1","CPM_K3_01",2
"SARR6_Q1","CPM_K3_01",2
"SAUL_Q1","CPM_K3_01",2
"SILL_Q2","CPM_K3_01",2
"TROY_Q1","CPM_K3_01",2
"VALK_Q1","CPM_K3_01",2
"VALK_Q2","CPM_K3_01",2
"VDM2W_Q1","CPM_K3_01",2
"VDMLR_Q1","CPM_K3_01",2
"VDMLR_Q2","CPM_K3_01",2
"VDMWL_Q1","CPM_K3_01",2
"VDMWL_Q3","CPM_K3_01",2
"VEN_Q1","CPM_K3_01",2
"VFH_Q2","CPM_K3_01",2
"VIGO_Q1","CPM_K3_01",2
"VNW_Q1","CPM_K3_01",2
"VRW_Q1","CPM_K3_01",2
"388_Q1","CPM_K3_02",2
"585_Q2","CPM_K3_02",2
"600_Q1","CPM_K3_02",2
"DMN1_Q1","CPM_K3_02",2
"MEK_Q1","CPM_K3_02",2
"NOVY_Q2","CPM_K3_02",2
"ALC_Q1","CPM_K3_03",2
"C5A_Q1","CPM_K3_03",2
"SPR_Q1","CPM_K3_03",2
"VDMM_Q1","CPM_K3_03",2
"VDMWL_Q2","CPM_K3_03",2
"VEL_Q2","CPM_K3_03",2
"202_Q1","CPM_K3_04",2
"HOL_KORB","CPM_K3_04",2
"HOL_MB253","CPM_K3_04",2
"HOL_TATE","CPM_K3_04",2
"HOL_TRMB32","CPM_K3_04",2
"METZ_Q3","CPM_K3_04",2
"DEU_Q1","CPM_K3_05",2
"EMP_Q1","CPM_K3_05",2
"OSND_Q1","CPM_K3_05",2
"NEW_Q1","CPM_K3_06",2
"POM4_Q1","CPM_K3_06",2
"SWP_Q1","CPM_K3_06",2
"VDMWL_Q1","CPM_K3_06",2
"HOL_TITE","CPM_K3_07",2
"ILLA_Q1","CPM_K3_07",2
"TROY_Q1","CPM_K3_07",2
"068_Q1","CPM_K4_01",2
"195_Q1","CPM_K4_01",2
"1TN_Q1","CPM_K4_01",2
"BOUX_Q1","CPM_K4_01",2
"C4A_Q1","CPM_K4_01",2
"FLEV1_Q1","CPM_K4_01",2
"HOL_KBMB","CPM_K4_01",2
"HOL_LKBB","CPM_K4_01",2
"HOL_MBRU","CPM_K4_01",2
"HOL_MBUF","CPM_K4_01",2
"HOL_MRBR","CPM_K4_01",2
"HOL_TRRB","CPM_K4_01",2
"HOL_TRRS","CPM_K4_01",2
"SILL_Q2","CPM_K4_01",2
"TROY_Q1","CPM_K4_01",2
"VALK_Q2","CPM_K4_01",2
"VDM2W_Q1","CPM_K4_01",2
"VDMLR_Q1","CPM_K4_01",2
"VFH_Q2","CPM_K4_01",2
"VIGO_Q1","CPM_K4_01",2
"VNW_Q1","CPM_K4_01",2
"HOK_Q1","CPM_K4_02",2
"VALK_Q1","CPM_K4_02",2
"VDM2W_Q1","CPM_K4_02",2
"VDMLR_Q2","CPM_K4_02",2
"VDMWL_Q3","CPM_K4_02",2
"VNW_Q1","CPM_K4_02",2
"VRW_Q1","CPM_K4_02",2
"HOL_TRRB","CPM_K4_03",2
"HORB1_Q1","CPM_K4_03",2
"HORB2_Q1","CPM_K4_03",2
"HORB3_Q1","CPM_K4_03",2
"388_Q1","CPM_K4_04",2
"585_Q2","CPM_K4_04",2
"600_Q1","CPM_K4_04",2
"MEK_Q1","CPM_K4_04",2
"NOVY_Q2","CPM_K4_04",2
"068_Q1","CPM_K4_05",2
"068_Q2","CPM_K4_05",2
"HOL_TMB12","CPM_K4_05",2
"HOL_TMB21","CPM_K4_05",2
"195_Q1","CPM_K5_01",2
"C4A_Q1","CPM_K5_01",2
"HOL_KBMB","CPM_K5_01",2
"HOL_MBRU","CPM_K5_01",2
"HOL_MBUF","CPM_K5_01",2
"HOL_MRBR","CPM_K5_01",2
"HOL_TRRB","CPM_K5_01",2
"HOL_TRRS","CPM_K5_01",2
"VALK_Q2","CPM_K5_01",2
"VFH_Q2","CPM_K5_01",2
"1TN_Q1","CPM_K5_02",2
"HOL_MRBR","CPM_K5_02",2
"HOL_TRRB","CPM_K5_02",2
"VALK_Q2","CPM_K5_02",2
"VNW_Q1","CPM_K5_02",2
"068_Q1","GN_ 1",2
"068_Q2","GN_ 1",2
"1DH_Q1","GN_ 1",2
"ATTO_Q1","GN_ 1",2
"BECRAA","GN_ 1",2
"BECRKO","GN_ 1",2
"ELT_Q1","GN_ 1",2
"HOL_K9SA","GN_ 1",2
"HOL_LKSH","GN_ 1",2
"HOL_TMB12","GN_ 1",2
"HOL_TMB21","GN_ 1",2
"HOL_TMB22","GN_ 1",2
"LANG_Q1","GN_ 1",2
"068_Q3","GN_ 2",2
"1GDGem","GN_ 2",2
"HOK_Q1","GN_ 2",2
"VALK_Q1","GN_ 2",2
"VDM2W_Q1","GN_ 2",2
"VDML2_Q1","GN_ 2",2
"VDMLR_Q1","GN_ 2",2
"VDMLR_Q2","GN_ 2",2
"VDMWL_Q1","GN_ 2",2
"VDMWL_Q3","GN_ 2",2
"VNW_Q1","GN_ 2",2
"VRW_Q1","GN_ 2",2
"195_Q1","GN_ 3",2
"1TN_Q1","GN_ 3",2
"BOUX_Q1","GN_ 3",2
"BSN_Q1","GN_ 3",2
"C4A_Q1","GN_ 3",2
"DMN1_Q3","GN_ 3",2
"FLEV1_Q1","GN_ 3",2
"FLOR_Q2","GN_ 3",2
"HOL_GKZB","GN_ 3",2
"HOL_KBMB","GN_ 3",2
"HOL_KORH","GN_ 3",2
"HOL_LKBB","GN_ 3",2
"HOL_LKSB","GN_ 3",2
"HOL_MBRU","GN_ 3",2
"HOL_MBUF","GN_ 3",2
"HOL_MRBR","GN_ 3",2
"HOL_PALZ","GN_ 3",2
"HOL_TMB11","GN_ 3",2
"HOL_TRPB","GN_ 3",2
"HOL_TRRB","GN_ 3",2
"HOL_TRRS","GN_ 3",2
"HORB1_Q1","GN_ 3",2
"HORB2_Q1","GN_ 3",2
"HORB3_Q1","GN_ 3",2
"MAIR_Q1","GN_ 3",2
"MAP_Q1","GN_ 3",2
"MMB_Q1","GN_ 3",2
"OFBG_Q1","GN_ 3",2
"OSH_Q1","GN_ 3",2
"SAND_Q1","GN_ 3",2
"SARR2_Q2","GN_ 3",2
"SARR6_Q1","GN_ 3",2
"SAUL_Q1","GN_ 3",2
"SILL_Q2","GN_ 3",2
"TROY_Q1","GN_ 3",2
"VALK_Q2","GN_ 3",2
"VEN_Q1","GN_ 3",2
"VFH_Q2","GN_ 3",2
"VIGO_Q1","GN_ 3",2
"1AH_Q1","GN_ 4",2
"202_Q1","GN_ 4",2
"CUY_Q1","GN_ 4",2
"GENP_Q1","GN_ 4",2
"HOL_KORB","GN_ 4",2
"HOL_MB253","GN_ 4",2
"HOL_TATE","GN_ 4",2
"HOL_TRMB32","GN_ 4",2
"HOL_WEDW","GN_ 4",2
"METZ_Q3","GN_ 4",2
"SARR2_Q1","GN_ 4",2
"STF_Q1","GN_ 4",2
"388_Q1","GN_ 5",2
"585_Q2","GN_ 5",2
"600_Q1","GN_ 5",2
"DMN1_Q1","GN_ 5",2
"MEK_Q1","GN_ 5",2
"NOVY_Q2","GN_ 5",2
"POM3_Q1","GN_ 5",2
"563_Q1","GN_ 6",2
"587_Q1","GN_ 6",2
"VRIG_Q1","GN_ 6",2
"585_Q1","GN_ 7",2
"C4CRH_Q1","GN_ 7",2
"LRC_Q1","GN_ 7",2
"ABC_Q1","GN_ 8",2
"DIF_Q1","GN_ 8",2
"VEL_Q1","GN_ 8",2
"ALC_Q1","GN_ 9",2
"ALC_Q3","GN_ 9",2
"C5A_Q1","GN_ 9",2
"IJS_Q1","GN_ 9",2
"IWRD_Q1","GN_ 9",2
"MAV_Q1","GN_ 9",2
"NWH_Q1","GN_ 9",2
"RAT_Q1","GN_ 9",2
"SILL_Q1","GN_ 9",2
"SPR_Q1","GN_ 9",2
"VDMM_Q1","GN_ 9",2
"VDMWL_Q2","GN_ 9",2
"VEL_Q2","GN_ 9",2
"VOW_Q1","GN_ 9",2
"VZS_Q1","GN_ 9",2
"AZW_Q1","GN_10",2
"HRW_Q1","GN_10",2
"BAR_Q1","GN_11",2
